name|numInputs|numOutputs|maxLevel|numEdges|reliability|size|area|longest_path|hashCode|const|and|nand|or|nor|not|xor|xnor|buf|const-and|const-nand|const-or|const-nor|const-not|const-xor|const-xnor|const-buf|const-output|and-and|and-nand|and-or|and-nor|and-not|and-xor|and-xnor|and-buf|and-output|nand-and|nand-nand|nand-or|nand-nor|nand-not|nand-xor|nand-xnor|nand-buf|nand-output|or-and|or-nand|or-or|or-nor|or-not|or-xor|or-xnor|or-buf|or-output|nor-and|nor-nand|nor-or|nor-nor|nor-not|nor-xor|nor-xnor|nor-buf|nor-output|not-and|not-nand|not-or|not-nor|not-not|not-xor|not-xnor|not-buf|not-output|xor-and|xor-nand|xor-or|xor-nor|xor-not|xor-xor|xor-xnor|xor-buf|xor-output|xnor-and|xnor-nand|xnor-or|xnor-nor|xnor-not|xnor-xor|xnor-xnor|xnor-buf|xnor-output|buf-and|buf-nand|buf-or|buf-nor|buf-not|buf-xor|buf-xnor|buf-buf|buf-output|input-and|input-nand|input-or|input-nor|input-not|input-xor|input-xnor|input-buf|input-output
nop13465|5|2|8|79|5,6492016|8|7,98|3|9cb791c4185a1259197b093cd8bc88817554f2bf0a24c0fc9828ea32957270ad|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|0|4|1|1|0|5|0|1|0|1|2|0|0|3|2|0|0|0|2|3|1|0|3|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|2|0|0|0|2|1|5|1|0|4|0|0|1|0|0|0|0|0|0|0|0|0|0|1|2|0|1|1|0|0|0|0|4|3|6|1|1|6|0|4|0
nop13475|5|2|8|81|4,0582556|5|5,054|3|c36151cf81a4472a13e8ceb34a719b35f2b3975c388e33d67e84db0f828e20a3|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|1|2|1|0|2|0|0|0|0|0|4|2|0|2|2|0|2|1|2|2|1|0|2|0|0|0|0|0|0|2|0|1|1|0|1|0|1|1|1|0|4|4|0|0|0|1|4|0|1|1|1|0|2|1|0|0|0|0|0|0|0|0|0|1|2|0|0|1|1|0|0|0|4|5|3|3|2|5|0|1|0
nop13480|5|2|8|81|2,9234198|5|3,99|2|51b0bde45a051d6e990654e1d49a20a76840d013cb2653acb63b58bf021c9dc9|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|1|4|1|0|2|1|0|1|0|1|3|1|0|1|2|0|0|1|1|2|2|0|2|1|0|0|0|1|0|0|0|1|0|0|0|0|2|3|1|0|3|4|0|1|0|1|3|0|1|3|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|2|3|0|1|0|3|4|4|3|1|3|0|3|0
nop13492|5|2|9|81|7,1644174|7|7,714|4|43bb96a32f41ae8b56244ca78315f288222a609da761cdf63c8d537d37496508|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|1|6|2|0|2|3|0|0|0|0|2|0|0|2|0|0|0|1|1|0|3|0|1|3|0|1|0|2|3|1|0|1|1|0|2|0|1|3|0|1|3|2|0|1|1|0|4|0|0|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|1|0|5|2|4|3|2|1|0|1|0
nop13493|5|2|8|78|5,8508296|6|6,118|3|84f6e894751d0d66e9ecfd401efc9dd79119e2c5e36fd3417b8547ccdb8428d0|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|1|4|1|0|1|3|0|0|0|0|1|1|0|3|2|0|1|1|1|2|1|0|0|0|0|0|0|1|1|0|0|1|1|0|2|0|0|3|0|0|2|4|0|0|1|1|2|1|0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|2|1|0|2|2|0|0|0|6|5|3|3|4|0|0|3|0
nop13495|5|2|8|80|6,4240064|8|7,714|3|8b150afa11c7c920c399e1fbfcacc143260dab0753d0ad765b4effe70b0943d1|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|1|5|2|0|0|2|0|2|0|0|2|1|2|3|1|0|0|1|0|0|0|0|1|1|0|0|0|0|2|0|0|0|0|0|0|0|0|3|0|0|4|0|0|2|0|2|1|1|0|5|3|0|0|1|0|0|0|0|0|0|0|0|0|0|3|2|0|0|0|0|1|0|6|4|4|2|2|7|0|1|0
nop13498|5|2|9|79|2,4927924|4|3,99|2|fe335ff69c631035b58fbc960adf2a2572ec14ade8cc2f47e74f83b348a3aa2a|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|4|0|2|0|1|3|0|1|0|1|2|0|0|1|3|0|1|1|0|2|1|0|1|1|0|0|0|0|1|1|0|1|1|0|0|0|0|3|1|1|4|1|0|2|1|1|5|0|1|2|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|3|6|4|2|5|5|0|0|0
nop135|5|6|7|73|7,9117444|9|8,778|2|b7cabd6405ba143b4a365845f48ea1527bd07fa32448778073c6d3cab20e4251|0|15|0|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|10|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|11|0|14|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|0|14|0|0|0|0|0|0
nop13509|5|2|11|80|3,5874356|6|6,118|3|eae42e30b830a9f3cc662d2785a7a9c612b7789a3d689c1bdbe1820e3eae443f|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|1|4|2|0|2|1|0|0|0|0|2|0|0|1|0|0|0|1|1|0|1|0|2|1|0|1|0|2|2|1|0|0|3|0|1|0|1|7|3|0|5|4|0|2|1|3|2|1|0|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|2|3|1|4|2|2|0|1|0
nop13517|5|2|8|80|5,9805312|6|6,916|3|6def2e7750ddf6061c9bd89df3c2066582a149507b5e47772a20b1d9e3557172|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|2|5|1|0|2|2|0|1|0|1|2|2|0|2|5|0|1|0|0|1|0|0|1|0|0|0|0|0|1|0|0|1|0|0|1|0|0|1|1|1|4|4|0|0|0|1|3|2|0|2|0|0|0|2|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|4|7|4|3|3|3|0|3|0
nop13524|5|2|9|79|4,1232128|4|4,788|3|76da4f581acba1435d437824649fba06ed20d53584b52a6402d19485fd8c2c6f|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|0|1|3|0|2|0|0|0|0|2|7|1|1|4|6|0|2|0|1|4|0|0|1|2|0|2|1|1|1|0|0|0|0|0|1|0|0|1|0|0|3|0|0|1|1|2|2|1|0|4|1|0|0|0|0|0|0|0|0|0|0|0|0|1|2|1|0|0|1|0|0|0|1|2|4|3|1|4|0|0|0
nop13526|5|2|11|80|5,4713274|7|7,182|3|1802169ddc7b99f83cf6ee6e7a1653328f518bd8b381548ab5087ad7e2df7f82|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|0|1|0|0|2|1|0|0|0|0|1|0|0|1|1|0|0|1|2|3|3|0|1|2|0|2|0|1|0|0|0|0|0|0|0|0|0|8|0|0|3|1|0|0|1|2|1|1|0|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|3|2|1|2|2|0|1|0|4|3|4|3|3|5|0|3|0
nop13527|5|3|7|80|5,4896548|9|8,512|3|5788ae3a79a7452d433d9d1578b604c21f2e02194255432b58fea08af7b36f34|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|1|1|1|0|1|1|0|0|1|3|3|1|0|2|1|0|1|0|0|0|0|0|2|0|0|0|1|0|1|0|1|0|1|0|0|0|3|1|5|1|6|1|0|1|1|1|4|1|1|0|3|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|1|2|0|0|0|1|8|2|1|3|5|0|3|0
nop13528|5|3|8|81|6,210435|6|7,182|3|ddbc5a1c46c666d33379d1b1b75f344941052c2e041ef7242abced647bb02fd9|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|1|3|1|0|3|4|0|0|0|0|1|0|1|3|3|0|3|1|0|4|2|1|3|0|0|0|0|2|3|0|0|1|1|0|0|0|0|0|0|0|1|0|0|3|1|1|4|2|2|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|5|5|5|0|2|4|0|0|0
nop13529|5|3|7|78|4,7843558|6|5,852|3|15b1819471a8e573bda922c50ec32d9185389a5f6cc1e1dba177b69777718d19|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|2|2|0|0|1|1|0|0|1|2|4|2|0|3|2|0|0|0|2|1|0|0|2|1|0|0|0|0|3|1|0|0|0|0|1|0|0|2|2|1|3|2|0|0|2|2|2|1|0|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|2|0|1|0|2|5|3|1|2|3|0|4|0
nop13532|5|3|11|81|8,5274014|12|12,502|3|a472981c7c6114c97c1d299af2adeac635b985c53999614c78e1f11dc8d454c2|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|4|3|0|0|3|1|0|0|0|0|3|3|0|5|2|0|0|0|1|1|0|0|1|1|0|0|0|0|1|0|0|1|0|0|2|0|2|3|1|0|2|1|0|0|1|0|3|1|0|1|3|0|0|2|0|0|0|0|0|0|0|0|0|0|3|2|1|1|2|0|2|0|3|3|2|3|1|4|0|2|0
nop13534|5|3|7|81|5,1460094|8|6,916|3|235e7293a5dbdcd007f4b8e79fd2c644749c1fdd845a8dce9ef6f80ba06bb60e|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|0|1|0|0|3|1|0|0|0|4|5|3|1|2|2|0|0|1|0|1|1|0|1|0|0|0|0|2|3|0|0|1|0|0|1|0|0|1|0|0|4|3|0|0|0|0|0|0|0|1|1|0|0|2|0|0|0|0|0|0|0|0|0|1|2|2|0|1|1|0|1|0|3|7|4|2|2|6|0|4|0
nop13536|5|3|9|81|5,5749078|8|7,714|2|684f4fd7a66271109c0d497bf7acbee3619ad46050c1ca6c80493fbf37176479|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|2|7|1|0|2|2|0|2|0|0|3|1|0|3|3|0|0|1|1|2|1|0|2|1|0|0|1|1|1|0|0|0|0|0|0|0|0|1|1|0|1|0|0|0|1|0|2|0|0|3|3|0|1|0|0|0|0|0|0|0|0|0|0|2|2|3|0|2|1|0|0|0|4|2|3|4|2|4|0|2|0
nop13541|5|3|6|81|7,1186122|7|7,714|3|676d2a176ad5154f661b48a8f9600129ffc0d50d054d93c1e7036c27d44b2a9e|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|2|3|2|0|1|1|0|0|0|1|3|2|1|1|2|0|2|0|0|2|1|0|1|2|0|0|0|0|1|0|0|2|0|0|0|0|1|1|0|0|2|1|0|0|2|4|1|0|0|4|1|0|1|1|0|0|0|0|0|0|0|0|0|0|2|2|0|1|0|0|0|0|2|7|3|3|3|6|0|3|0
nop13545|5|3|9|80|3,9751572|5|4,788|3|b1880ed55a2118c58d8c799c0f6edf7a294be7b0f3891defb90d68be5f22e713|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|1|3|1|0|2|1|0|0|0|4|3|2|1|2|4|0|1|1|0|0|0|0|2|0|0|2|1|0|0|1|0|2|1|0|0|0|1|3|4|0|3|1|0|0|1|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|1|1|0|1|0|4|7|1|1|2|6|0|2|0
nop13546|5|3|9|81|5,6592564|10|7,98|3|0f14ac8d7887c50f1a13efe3d663f9b74e69234101aa0e187415586a6856e56c|0|5|10|5|2|15|7|0|3|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|1|2|3|0|1|1|0|1|1|0|0|1|0|2|1|0|0|0|1|5|2|0|1|1|0|0|0|3|1|1|0|1|1|0|0|2|2|8|1|0|6|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|0|0|0|0|3|4|0|2|2|6|0|4|0
